id,name,description,address,city,area,latitude,longitude,phone,website
a3599f17-903b-5337-9cdd-2c738ca9803d,Pizza Guy,,"2nd Floor, Genetic Point, House 25",,,23.7902003,90.4080468,,
4d2ebef2-7a60-5ec3-bc26-290764f5578c,Swade Bangladesh - স্বাদে বাংলাদেশ,,"Block D, House 3",,,23.7919322,90.4062177,,
54054cca-561f-5b1b-a422-3b0242230966,The Secret Garden Banani,,28 Rd No. 19/A,,,23.7924647,90.4094797,,
ee00b82d-5adf-578e-a98b-c2850e9aaa5c,Nori,,"Level - 8, House no, Bay's Bellavis",,,23.7913553,90.4017327,,
58c6b1d3-cb21-55bc-b17e-9d385d07a01e,"Japanese Restaurant ICHI in Banani, Dhaka.",,"House No 32, Le",,,23.7906659,90.4041404,,
951dd577-0041-5c51-a3c9-5868746b414b,Sushi Samurai,,House-100 Rd No. 11,,,23.7911021,90.4031759,,
7a12e33e-7485-5f11-adee-a002e7ad7bc1,BFC - Banani,,"House 25, Groun",,,23.7901885,90.4080516,,
5dd91301-5651-5861-a96d-bb96093b604b,Salam's Kitchen,,"Block- E, (1st Floor, House- 48 Roa",,,23.7918894,90.4068485,,
46ebfd05-3c92-5652-99f2-cf21ad3183a0,Khichuriwala,,"House 30, Block D Rd 10",,,23.792193,90.4062435,,
fbaa4d68-0098-500f-8edc-0c58814d9750,Uncle Bobo's Banani,,House-37 Rd No-15,,,23.7920074,90.4057971,,
324172e0-2e3b-5444-b669-db062b4eb33a,NAM,,House 18 Rd No 10A,,,23.789889,90.4068435,,
4be38bde-40cc-505a-9089-8df26a95dec1,Bibi Dhaba,,House-30 Road N,,,23.7925682,90.4066162,,
fa0eae63-f00f-5c2f-847e-b6709b1070ac,Waffle Up - Banani,,"Block E, House 135 Rd No. 13E",,,23.7914063,90.4075455,,
676af583-18a2-5577-8df3-c9c564976ae2,American Burger Banani,,24 Road No. 11,,,23.7908043,90.4052643,,
552bd834-3bb0-5650-b3b9-77cc25b522d8,Hungry Rooster - Banani,,House-90 Road No. 17/A,,,23.7919899,90.4092254,,
d45dfe5e-7fd8-581f-a56e-57fb0f133380,New Cathay,,72 Road No. 11,,,23.7909928,90.4050265,,
9846566c-51ae-51cf-81ca-262e09ae451c,Kebabzz Banani,,"Plot - 43, Block - F Rd No. 11",,,23.7911043,90.4010443,,
d119dfd8-913c-5825-bdaf-ff4fdc034b4a,"Mezzan Haile Aiun, Dhaka",,"BTA Tower, 29, R",,,23.7932094,90.4048241,,
ecbfc94d-5334-53b7-a3e9-f0ef837356a9,Great Britain Fish n Chips,,"QCR4+XJ7, Hou",,,23.7923622,90.4065,,
